Date,Open,High,Low,Close,Volume,Adj Close
2012-08-23,24.62,24.73,22.95,23.13,2248200,23.13
2012-08-22,25.13,25.30,24.65,24.91,972500,24.91
2012-08-21,25.25,25.75,24.99,25.15,810800,25.15
2012-08-20,25.40,25.59,24.68,25.04,1103700,25.04
2012-08-17,25.44,25.47,24.97,25.42,1180200,25.42
2012-08-16,25.30,25.75,24.85,25.38,1471400,25.38
2012-08-15,24.75,25.24,24.12,25.19,897900,25.19
2012-08-14,25.75,25.90,24.75,24.94,763300,24.94
2012-08-13,26.00,26.07,24.98,25.42,692300,25.42
2012-08-10,25.59,26.10,25.06,26.04,740600,26.04
2012-08-09,25.20,25.73,24.85,25.56,1197600,25.56
2012-08-08,25.61,26.07,25.00,25.17,1431200,25.17
2012-08-07,25.00,26.48,24.89,25.66,2194300,25.66
2012-08-06,22.40,24.80,22.40,24.62,2702600,24.62
2012-08-03,21.72,23.07,21.53,22.39,2449800,22.39
2012-08-02,22.83,24.00,20.07,21.44,7583200,21.44
2012-08-01,24.86,25.10,23.92,24.77,1692600,24.77
2012-07-31,23.97,24.67,23.82,24.60,1474000,24.60
2012-07-30,23.91,24.42,23.70,24.00,1098300,24.00
2012-07-27,23.32,23.81,23.09,23.68,1493300,23.68
2012-07-26,23.61,23.74,22.65,23.20,1546100,23.20
2012-07-25,23.27,23.45,22.78,23.18,1570500,23.18
2012-07-24,23.76,23.99,22.48,23.02,2357200,23.02
2012-07-23,23.31,23.93,22.98,23.56,1658000,23.56
2012-07-20,24.50,24.65,23.76,24.00,1427800,24.00
2012-07-19,25.08,25.49,24.51,24.78,1528700,24.78
2012-07-18,24.10,26.11,23.84,24.95,3008900,24.95
2012-07-17,23.45,24.27,22.96,24.18,1919500,24.18
2012-07-16,23.44,23.55,22.99,23.09,1518100,23.09
2012-07-13,23.40,23.98,23.02,23.44,1997900,23.44
2012-07-12,22.88,23.96,22.67,23.43,3600300,23.43
2012-07-11,22.48,23.28,22.01,23.00,3877300,23.00
2012-07-10,23.65,24.03,21.30,21.95,6334900,21.95
2012-07-09,24.43,24.43,23.11,23.67,4281100,23.67
2012-07-06,27.48,27.91,24.04,24.42,7299100,24.42
2012-07-05,28.95,29.82,28.28,28.79,3271200,28.79
2012-07-03,27.70,29.10,27.58,29.04,3288300,29.04
2012-07-02,28.37,28.40,26.57,27.09,1919400,27.09
2012-06-29,26.41,28.54,26.21,28.37,3677500,28.37
2012-06-28,25.14,26.27,25.05,25.56,2477900,25.56
